date,label,t_value,horizon,future_ret
2022-07-26 21:00:00,1,14.076425180166153,36.0,0.08847389882322809
2022-07-26 22:00:00,1,14.292375384974852,36.0,0.09275319572032759
2022-07-26 23:00:00,1,14.233933933482186,36.0,0.0906517461295906
2022-07-27 00:00:00,1,14.216792848740136,36.0,0.08616287614704832
2022-07-27 01:00:00,1,14.179770689055236,35.0,0.08691553100119265
2022-07-27 02:00:00,1,14.039183921787588,34.0,0.09257056752543358
2022-07-27 03:00:00,1,13.677382169191283,28.0,0.09049936731956754
2022-07-27 04:00:00,1,13.381398369161621,27.0,0.09202090046651135
2022-07-27 05:00:00,1,13.228522220591632,36.0,0.13137406352621195
2022-07-27 06:00:00,1,13.240942750481466,36.0,0.12326867846582612
2022-07-27 07:00:00,1,13.199706615829305,36.0,0.11158407236774481
2022-07-27 08:00:00,1,13.279661324427376,36.0,0.1156930394116571
2022-07-27 09:00:00,1,13.380908361594406,36.0,0.13048639163746079
2022-07-27 10:00:00,1,13.107208404071727,36.0,0.1204661448673825
2022-07-27 11:00:00,1,12.784145164684539,36.0,0.124426152398871
2022-07-27 12:00:00,1,12.357128925844252,36.0,0.12394985684147075
2022-07-27 13:00:00,1,11.900468644921602,36.0,0.1178843862299328
2022-07-27 14:00:00,1,11.508460774238344,36.0,0.11422713729299572
2022-07-27 15:00:00,1,11.054165721927658,36.0,0.11061507242320334
2022-07-27 16:00:00,1,10.926584440330847,36.0,0.11279394736964465
2022-07-27 17:00:00,1,10.993142860687525,36.0,0.11429755066702674
2022-07-27 18:00:00,1,11.889364535896794,36.0,0.0905842130900516
2022-07-27 19:00:00,1,12.036442095731166,36.0,0.055820879740589247
2022-07-27 20:00:00,1,11.556942799254253,36.0,0.04758869021187162
2022-07-27 21:00:00,1,11.266225035216886,36.0,0.05315122810882267
2022-07-27 22:00:00,1,11.15269046869672,36.0,0.059110982089447095
2022-07-27 23:00:00,1,10.685844694019247,36.0,0.045897814556226546
2022-07-28 00:00:00,1,10.275902953312128,35.0,0.04455149603138242
2022-07-28 01:00:00,1,9.878861140103899,34.0,0.05218209229443849
2022-07-28 02:00:00,1,9.225648864157794,33.0,0.0536269965976961
2022-07-28 03:00:00,1,8.542968412135902,32.0,0.02977703786871788
2022-07-28 04:00:00,1,8.67431070938828,31.0,0.03671639851887143
2022-07-28 05:00:00,1,8.394076814873966,30.0,0.037858062614079424
2022-07-28 06:00:00,1,8.021325100856643,29.0,0.03285167559078217
2022-07-28 07:00:00,1,7.897383735198348,24.0,0.04147273177663924
2022-07-28 08:00:00,1,7.4638495762142405,16.0,0.04265450462847675
2022-07-28 09:00:00,1,6.910511982175742,14.0,0.04253834513015753
2022-07-28 10:00:00,1,6.349041277126717,13.0,0.04071832825424471
2022-07-28 11:00:00,1,5.83909138503057,10.0,0.047562529074443693
2022-07-28 12:00:00,1,5.4057369626103275,9.0,0.045009216090209136
2022-07-28 13:00:00,1,4.956224036094995,8.0,0.049264065493816345
2022-07-28 14:00:00,1,3.827480907150002,7.0,0.05629715357874021
2022-07-28 15:00:00,1,2.7185090817635813,20.0,0.03461942404688534
2022-07-28 16:00:00,1,2.279852757558743,19.0,0.007601745960257089
2022-07-28 17:00:00,1,1.7485642301721303,18.0,0.002630311407090913
2022-07-28 18:00:00,1,1.7254663978852558,17.0,0.005017045359128058
2022-07-28 19:00:00,1,1.3968422412042933,16.0,0.0062379413112285675
2022-07-28 20:00:00,-1,-1.613422776531177,35.0,8.391690548026354e-05
2022-07-28 21:00:00,-1,-2.659013624824939,6.0,-0.011935937713993927
2022-07-28 22:00:00,1,2.2887387882876484,9.0,0.004223971035627105
2022-07-28 23:00:00,1,2.1858735966223057,8.0,0.0024806214521466696
2022-07-29 00:00:00,1,3.342034999601601,7.0,0.0040767074616734345
2022-07-29 01:00:00,1,4.070714875088693,6.0,0.005707427209319826
2022-07-29 02:00:00,1,1.7355385763569722,8.0,0.009246180606492294
2022-07-29 03:00:00,1,1.963813237964027,36.0,0.024462673840816018
2022-07-29 04:00:00,1,2.438413392188253,36.0,0.02303773876633386
2022-07-29 05:00:00,1,3.0799818138470325,36.0,0.025176595415829395
2022-07-29 06:00:00,1,3.6837874200658303,36.0,0.022754121079808565
2022-07-29 07:00:00,1,4.25850266863105,36.0,0.01908648590003592
2022-07-29 08:00:00,1,4.450892156872516,35.0,0.02495876578546463
2022-07-29 09:00:00,1,4.400111945877899,34.0,0.021674287459368502
2022-07-29 10:00:00,1,4.4873038619036025,33.0,0.01424056546963981
2022-07-29 11:00:00,1,5.020106611747694,32.0,0.020206113216059585
2022-07-29 12:00:00,1,5.272318212806395,31.0,0.029191758711803573
2022-07-29 13:00:00,1,5.076114153672631,30.0,0.03856670820026298
2022-07-29 14:00:00,1,4.570996667949251,29.0,0.021999221636822552
2022-07-29 15:00:00,1,4.637529257715558,28.0,0.015429776016697927
2022-07-29 16:00:00,1,5.164313057345592,27.0,0.028814558935040813
2022-07-29 17:00:00,1,4.923279303013384,26.0,0.026121519476645316
2022-07-29 18:00:00,1,4.787237816782034,25.0,0.022722513966012547
2022-07-29 19:00:00,1,4.825131336717263,24.0,0.021511897840444716
2022-07-29 20:00:00,1,4.948543721467928,23.0,0.01951616606483131
2022-07-29 21:00:00,1,5.257406008703182,22.0,0.020653800182214965
2022-07-29 22:00:00,1,5.5494267054151685,21.0,0.027299878012871703
2022-07-29 23:00:00,1,5.348243748329467,20.0,0.015792998174051665
2022-07-30 00:00:00,1,6.305040711957303,19.0,0.025031898462158475
2022-07-30 01:00:00,1,6.3729006225275935,18.0,0.021900864485785876
2022-07-30 02:00:00,1,6.886776773999853,17.0,0.0262810653622787
2022-07-30 03:00:00,1,6.864984670462263,16.0,0.025931853793578652
2022-07-30 04:00:00,1,6.827524343700673,15.0,0.027386311051280865
2022-07-30 05:00:00,1,6.577476031742509,13.0,0.031864086992410945
2022-07-30 06:00:00,1,6.061522191128523,12.0,0.03132550406196066
2022-07-30 07:00:00,1,5.403443793111999,11.0,0.027946180213215044
2022-07-30 08:00:00,1,4.901898499657608,10.0,0.026851910060560424
2022-07-30 09:00:00,1,4.31272186173072,9.0,0.025579633404632096
2022-07-30 10:00:00,-1,-4.119517072737702,31.0,-0.0014714166799795203
2022-07-30 11:00:00,-1,-4.849141709939744,36.0,-0.022232666661071376
2022-07-30 12:00:00,-1,-5.773841484585741,36.0,-0.029598458561323815
2022-07-30 13:00:00,-1,-6.661500762920583,12.0,-0.03560999812921428
2022-07-30 14:00:00,-1,-6.160989365469029,36.0,-0.044865233012915895
2022-07-30 15:00:00,-1,-5.978877197622934,36.0,-0.04131594376406811
2022-07-30 16:00:00,-1,-5.921909076548665,8.0,-0.03345369583687341
2022-07-30 17:00:00,-1,-5.64231837848534,36.0,-0.04781269354891282
2022-07-30 18:00:00,-1,-5.509218775757089,36.0,-0.04804254485494597
2022-07-30 19:00:00,-1,-5.522986000483554,36.0,-0.049631479813283086
2022-07-30 20:00:00,-1,-5.470117605140484,36.0,-0.021400786373993452
2022-07-30 21:00:00,-1,-5.702629105019772,36.0,-0.025125102508744668
2022-07-30 22:00:00,-1,-5.776416495786793,36.0,-0.012002800229109711
2022-07-30 23:00:00,-1,-6.8928484237365995,36.0,-0.030685669188988407
2022-07-31 00:00:00,-1,-7.582808820975395,36.0,-0.019997802439292278
2022-07-31 01:00:00,-1,-8.565650682733171,36.0,-0.02696832960823181
